web-scraper-order,web-scraper-start-url,Chien_links_description,Chien_links_description-href,Race,Age,Adresse,Price,Nom,Lien_image
"1738974282-167","https://sn.coinafrique.com/categorie/chiens?page=8","Chiot berger allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-2864271","Chiot berger allemand","4 années","Guediawaye, Dakar, Sénégal","180 000 CFA","Chiot berger allemand","180 000 CFA"
"1738974286-168","https://sn.coinafrique.com/categorie/chiens?page=8","Chiots Labrador","https://sn.coinafrique.com/annonce/chiens/chiots-labrador-2877490","Chiots Labrador","4 années","Dakar, Sénégal","200 000 CFA","Chiots Labrador","200 000 CFA"
"1738974289-169","https://sn.coinafrique.com/categorie/chiens?page=8","Chiot Bichon","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-2877719","Chiot Bichon","4 années","Ouakam, Dakar, Sénégal","111 111 111 111 111 000 CFA","Chiot Bichon","111 111 111 111 111 000 CFA"
"1738974292-170","https://sn.coinafrique.com/categorie/chiens?page=8","Chiot rottweiller","https://sn.coinafrique.com/annonce/chiens/chiot-rottweiller-2882667","Chiot rottweiller","4 années","Grand Dakar, Dakar, Sénégal","Prix sur demande","Chiot rottweiller","Prix sur demande"
"1738974296-171","https://sn.coinafrique.com/categorie/chiens?page=8","Chiots Bichons Spitz Royal","https://sn.coinafrique.com/annonce/chiens/chiots-bichons-spitz-royal-2890179","Chiots Bichons Spitz Royal","4 années","Saly, Sénégal","200 000 CFA","Chiots Bichons Spitz Royal","200 000 CFA"
"1738974300-172","https://sn.coinafrique.com/categorie/chiens?page=8","Chiot pitbull","https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-2896747","Chiot pitbull","4 années","Saint Louis, Sénégal","175 000 CFA","Chiot pitbull","175 000 CFA"
"1738974304-173","https://sn.coinafrique.com/categorie/chiens?page=8","Chien Pitbull","https://sn.coinafrique.com/annonce/chiens/chien-pitbull-2898017","Chien Pitbull","4 années","Hann Bel-Air, Dakar, Sénégal","400 000 CFA","Chien Pitbull","400 000 CFA"
"1738974308-174","https://sn.coinafrique.com/categorie/chiens?page=8","Caniches","https://sn.coinafrique.com/annonce/chiens/caniches-2913795","Caniches","4 années","Dakar, Sénégal","100 000 CFA","Caniches","100 000 CFA"
"1738974311-175","https://sn.coinafrique.com/categorie/chiens?page=8","Chiot Rottweiler","https://sn.coinafrique.com/annonce/chiens/chiot-rottweiler-2920881","Chiot Rottweiler","4 années","Dakar, Sénégal","250 000 CFA","Chiot Rottweiler","250 000 CFA"
"1738974315-176","https://sn.coinafrique.com/categorie/chiens?page=8","Chiot Husky","https://sn.coinafrique.com/annonce/chiens/chiot-husky-2922194","Chiot Husky","4 années","Dakar, Sénégal","450 000 CFA","Chiot Husky","450 000 CFA"
"1738974318-177","https://sn.coinafrique.com/categorie/chiens?page=8","Chiot husky","https://sn.coinafrique.com/annonce/chiens/chiot-husky-2922209","Chiot husky","4 années","Dakar, Sénégal","450 000 CFA","Chiot husky","450 000 CFA"
"1738974322-178","https://sn.coinafrique.com/categorie/chiens?page=8","Chiots Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-2923824","Chiots Berger Allemand","4 années","Dakar, Sénégal","165 000 CFA","Chiots Berger Allemand","165 000 CFA"
"1738974325-179","https://sn.coinafrique.com/categorie/chiens?page=8","Chien Pitbull","https://sn.coinafrique.com/annonce/chiens/chien-pitbull-2927795","Chien Pitbull","4 années","Dakar, Sénégal","170 000 CFA","Chien Pitbull","170 000 CFA"
"1738974329-180","https://sn.coinafrique.com/categorie/chiens?page=8","Chiots bolognais","https://sn.coinafrique.com/annonce/chiens/chiots-bolognais-2932610","Chiots bolognais","4 années","Dakar, Sénégal","150 000 CFA","Chiots bolognais","150 000 CFA"
"1738974332-181","https://sn.coinafrique.com/categorie/chiens?page=8","Berger femelle","https://sn.coinafrique.com/annonce/chiens/berger-femelle-2939379","Berger femelle","4 années","Dieuppeul-Derklé, Dakar, Sénégal","160 000 CFA","Berger femelle","160 000 CFA"
"1738974336-182","https://sn.coinafrique.com/categorie/chiens?page=8","Chiot berger allemand / husky","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-husky-2945713","Chiot berger allemand / husky","3 années","Dakar, Sénégal","175 000 CFA","Chiot berger allemand / husky","175 000 CFA"
"1738974339-183","https://sn.coinafrique.com/categorie/chiens?page=8","Chiots Malinois","https://sn.coinafrique.com/annonce/chiens/chiots-malinois-2946384","Chiots Malinois","3 années","Grand Yoff, Dakar, Sénégal","300 000 CFA","Chiots Malinois","300 000 CFA"
"1738974343-184","https://sn.coinafrique.com/categorie/chiens?page=8","Chien","https://sn.coinafrique.com/annonce/chiens/chien-2949981","Chien","3 années","Mbao, Dakar, Sénégal","500 000 CFA","Chien","500 000 CFA"
"1738974346-185","https://sn.coinafrique.com/categorie/chiens?page=8","Chien Pitbull femelle","https://sn.coinafrique.com/annonce/chiens/chien-pitbull-femelle-2950286","Chien Pitbull femelle","3 années","Saint Louis, Sénégal","300 000 CFA","Chien Pitbull femelle","300 000 CFA"
"1738974349-186","https://sn.coinafrique.com/categorie/chiens?page=8","Chiots malinois","https://sn.coinafrique.com/annonce/chiens/chiots-malinois-2951499","Chiots malinois","3 années","Mermoz-Sacré Coeur, Dakar, Sénégal","250 000 CFA","Chiots malinois","250 000 CFA"
"1738974353-187","https://sn.coinafrique.com/categorie/chiens?page=8","Chiots Malinois","https://sn.coinafrique.com/annonce/chiens/chiots-malinois-2951762","Chiots Malinois","3 années","Dakar, Sénégal","230 000 CFA","Chiots Malinois","230 000 CFA"
"1738974356-188","https://sn.coinafrique.com/categorie/chiens?page=8","Chiot boerboel","https://sn.coinafrique.com/annonce/chiens/chiot-boerboel-2957371","Chiot boerboel","3 années","HLM, Dakar, Sénégal","300 000 CFA","Chiot boerboel","300 000 CFA"
"1738974359-189","https://sn.coinafrique.com/categorie/chiens?page=8","Chiot Husky 4mois femelle","https://sn.coinafrique.com/annonce/chiens/chiot-husky-4mois-femelle-2962156","Chiot Husky 4mois femelle","3 années","Mbao, Dakar, Sénégal","Prix sur demande","Chiot Husky 4mois femelle","Prix sur demande"
"1738974362-190","https://sn.coinafrique.com/categorie/chiens?page=8","Chiots","https://sn.coinafrique.com/annonce/chiens/chiots-2965558","Chiots","3 années","Hann Bel-Air, Dakar, Sénégal","150 000 CFA","Chiots","150 000 CFA"
"1738974365-191","https://sn.coinafrique.com/categorie/chiens?page=8","Chiots bichons maltais pure race","https://sn.coinafrique.com/annonce/chiens/chiots-bichons-maltais-pure-race-2972487","Chiots bichons maltais pure race","3 années","Mbao, Dakar, Sénégal","Prix sur demande","Chiots bichons maltais pure race","Prix sur demande"
"1738974367-192","https://sn.coinafrique.com/categorie/chiens?page=8","Chiots boerboels purebreed","https://sn.coinafrique.com/annonce/chiens/chiots-boerboels-purebreed-2974090","Chiots boerboels purebreed","3 années","Thies, Sénégal","400 000 CFA","Chiots boerboels purebreed","400 000 CFA"
"1738974371-193","https://sn.coinafrique.com/categorie/chiens?page=8","Chiots Rottweiler","https://sn.coinafrique.com/annonce/chiens/chiots-rottweiler-2978927","Chiots Rottweiler","3 années","Dakar, Sénégal","300 000 CFA","Chiots Rottweiler","300 000 CFA"
"1738974375-194","https://sn.coinafrique.com/categorie/chiens?page=8","Chiots Cane Corso","https://sn.coinafrique.com/annonce/chiens/chiots-cane-corso-2996177","Chiots Cane Corso","3 années","Dakar, Sénégal","Prix sur demande","Chiots Cane Corso","Prix sur demande"
"1738974378-195","https://sn.coinafrique.com/categorie/chiens?page=8","Chien cane corso","https://sn.coinafrique.com/annonce/chiens/chien-cane-corso-2996181","Chien cane corso","3 années","Dakar, Sénégal","Prix sur demande","Chien cane corso","Prix sur demande"
"1738974381-196","https://sn.coinafrique.com/categorie/chiens?page=8","Chiot Labrador","https://sn.coinafrique.com/annonce/chiens/chiot-labrador-3005026","Chiot Labrador","3 années","Sicap Liberté, Dakar, Sénégal","450 000 CFA","Chiot Labrador","450 000 CFA"
"1738974384-197","https://sn.coinafrique.com/categorie/chiens?page=8","Berger belge malinois","https://sn.coinafrique.com/annonce/chiens/berger-belge-malinois-3005565","Berger belge malinois","3 années","Mamelles, Dakar, Sénégal","Prix sur demande","Berger belge malinois","Prix sur demande"
"1738974388-198","https://sn.coinafrique.com/categorie/chiens?page=8","Chiot cane corso","https://sn.coinafrique.com/annonce/chiens/chiot-cane-corso-3005863","Chiot cane corso","3 années","Colobane, Dakar, Sénégal","450 000 CFA","Chiot cane corso","450 000 CFA"
"1738974391-199","https://sn.coinafrique.com/categorie/chiens?page=8","Chien Bijon Malté","https://sn.coinafrique.com/annonce/chiens/chien-bijon-malte-3012169","Chien Bijon Malté","3 années","Sicap Liberté, Dakar, Sénégal","210 000 CFA","Chien Bijon Malté","210 000 CFA"
"1738974395-200","https://sn.coinafrique.com/categorie/chiens?page=8","Chiots Bergers Allemands","https://sn.coinafrique.com/annonce/chiens/chiots-bergers-allemands-3018685","Chiots Bergers Allemands","3 années","Pikine, Sénégal","150 000 CFA","Chiots Bergers Allemands","150 000 CFA"
"1738974398-201","https://sn.coinafrique.com/categorie/chiens?page=8","Chiot couple teckel","https://sn.coinafrique.com/annonce/chiens/chiot-couple-teckel-3023422","Chiot couple teckel","3 années","Yoff, Dakar, Sénégal","200 CFA","Chiot couple teckel","200 CFA"
"1738974405-202","https://sn.coinafrique.com/categorie/chiens?page=8","Chiot pitbull","https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-3025431","Chiot pitbull","3 années","Mamelles, Dakar, Sénégal","150 CFA","Chiot pitbull","150 CFA"
"1738974408-203","https://sn.coinafrique.com/categorie/chiens?page=8","Chiot Husky","https://sn.coinafrique.com/annonce/chiens/chiot-husky-3032898","Chiot Husky","3 années","Dakar Plateau, Dakar, Sénégal","450 000 CFA","Chiot Husky","450 000 CFA"
"1738974411-204","https://sn.coinafrique.com/categorie/chiens?page=8","Chiots Bergers Allemands","https://sn.coinafrique.com/annonce/chiens/chiots-bergers-allemands-3035100","Chiots Bergers Allemands","3 années","Rufisque, Sénégal","150 000 CFA","Chiots Bergers Allemands","150 000 CFA"
"1738974415-205","https://sn.coinafrique.com/categorie/chiens?page=8","Chiot femelle Yorkshire","https://sn.coinafrique.com/annonce/chiens/chiot-femelle-yorkshire-3045523","Chiot femelle Yorkshire","3 années","Dakar, Sénégal","400 000 CFA","Chiot femelle Yorkshire","400 000 CFA"
"1738974420-206","https://sn.coinafrique.com/categorie/chiens?page=8","Chiot berger allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-3057290","Chiot berger allemand","3 années","Dakar, Sénégal","160 000 CFA","Chiot berger allemand","160 000 CFA"
"1738974424-207","https://sn.coinafrique.com/categorie/chiens?page=8","Chiots Berger allemand","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-3057308","Chiots Berger allemand","3 années","Dakar, Sénégal","160 000 CFA","Chiots Berger allemand","160 000 CFA"
"1738974429-208","https://sn.coinafrique.com/categorie/chiens?page=8","Chiot Boerboel","https://sn.coinafrique.com/annonce/chiens/chiot-boerboel-3057395","Chiot Boerboel","3 années","Mermoz-Sacré Coeur, Dakar, Sénégal","450 000 CFA","Chiot Boerboel","450 000 CFA"
"1738974432-209","https://sn.coinafrique.com/categorie/chiens?page=8","Chiot Bichon","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-3062078","Chiot Bichon","3 années","Dakar, Sénégal","250 000 CFA","Chiot Bichon","250 000 CFA"
"1738974436-210","https://sn.coinafrique.com/categorie/chiens?page=8","Chiot berger allemand mâle","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-male-3064744","Chiot berger allemand mâle","3 années","Hann Bel-Air, Dakar, Sénégal","150 000 CFA","Chiot berger allemand mâle","150 000 CFA"
"1738974439-211","https://sn.coinafrique.com/categorie/chiens?page=8","Chiot Bichon","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-3076436","Chiot Bichon","3 années","Mbao, Dakar, Sénégal","200 000 CFA","Chiot Bichon","200 000 CFA"
"1738974441-212","https://sn.coinafrique.com/categorie/chiens?page=8","Chiots Bichon Maltais","https://sn.coinafrique.com/annonce/chiens/chiots-bichon-maltais-3079960","Chiots Bichon Maltais","3 années","Sicap Liberté, Dakar, Sénégal","350 000 CFA","Chiots Bichon Maltais","350 000 CFA"
"1738974445-213","https://sn.coinafrique.com/categorie/chiens?page=8","Chiot Pitbull","https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-3083215","Chiot Pitbull","3 années","Dakar, Sénégal","130 000 CFA","Chiot Pitbull","130 000 CFA"
"1738974457-214","https://sn.coinafrique.com/categorie/chiens?page=7","Chiots Pitbull","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-3085151","Chiots Pitbull","3 années","Bargny, Sénégal","150 CFA","Chiots Pitbull","150 CFA"
"1738974460-215","https://sn.coinafrique.com/categorie/chiens?page=7","Chiots Pékinois","https://sn.coinafrique.com/annonce/chiens/chiots-pekinois-3086369","Chiots Pékinois","3 années","Fann, Dakar, Sénégal","Prix sur demande","Chiots Pékinois","Prix sur demande"
"1738974465-216","https://sn.coinafrique.com/categorie/chiens?page=7","Chiot berger allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-3092060","Chiot berger allemand","3 années","Ouest Foire, Dakar, Sénégal","250 000 CFA","Chiot berger allemand","250 000 CFA"
"1738974469-217","https://sn.coinafrique.com/categorie/chiens?page=7","Chiots labradors","https://sn.coinafrique.com/annonce/chiens/chiots-labradors-3098631","Chiots labradors","3 années","Guediawaye, Dakar, Sénégal","450 000 CFA","Chiots labradors","450 000 CFA"
"1738974473-218","https://sn.coinafrique.com/categorie/chiens?page=7","Chien Pitbull","https://sn.coinafrique.com/annonce/chiens/chien-pitbull-3098650","Chien Pitbull","3 années","Guediawaye, Dakar, Sénégal","300 000 CFA","Chien Pitbull","300 000 CFA"
"1738974477-219","https://sn.coinafrique.com/categorie/chiens?page=7","Chiots Berger Malinois mâle - femelle","https://sn.coinafrique.com/annonce/chiens/chiots-berger-malinois-male-femelle-3106040","Chiots Berger Malinois mâle - femelle","3 années","Thies, Sénégal","200 000 CFA","Chiots Berger Malinois mâle - femelle","200 000 CFA"
"1738974481-220","https://sn.coinafrique.com/categorie/chiens?page=7","Chien mâle berger allemand","https://sn.coinafrique.com/annonce/chiens/chien-male-berger-allemand-3106042","Chien mâle berger allemand","3 années","Thies, Sénégal","150 000 CFA","Chien mâle berger allemand","150 000 CFA"
"1738974484-221","https://sn.coinafrique.com/categorie/chiens?page=7","Chiot berger malinois","https://sn.coinafrique.com/annonce/chiens/chiot-berger-malinois-3109622","Chiot berger malinois","3 années","Rufisque, Sénégal","100 000 CFA","Chiot berger malinois","100 000 CFA"
"1738974488-222","https://sn.coinafrique.com/categorie/chiens?page=7","Chiens Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiens-berger-allemand-3121248","Chiens Berger Allemand","3 années","Thies, Sénégal","100 000 CFA","Chiens Berger Allemand","100 000 CFA"
"1738974492-223","https://sn.coinafrique.com/categorie/chiens?page=7","Chiot Malinois","https://sn.coinafrique.com/annonce/chiens/chiot-malinois-3127168","Chiot Malinois","3 années","Mermoz-Sacré Coeur, Dakar, Sénégal","400 000 CFA","Chiot Malinois","400 000 CFA"
"1738974495-224","https://sn.coinafrique.com/categorie/chiens?page=7","Chiots tigrés","https://sn.coinafrique.com/annonce/chiens/chiots-tigres-3130909","Chiots tigrés","3 années","Pikine, Sénégal","150 000 CFA","Chiots tigrés","150 000 CFA"
"1738974498-225","https://sn.coinafrique.com/categorie/chiens?page=7","Pitbul","https://sn.coinafrique.com/annonce/chiens/pitbul-3137013","Pitbul","3 années","Bargny, Sénégal","120 000 CFA","Pitbul","120 000 CFA"
"1738974501-226","https://sn.coinafrique.com/categorie/chiens?page=7","Bichons maltais","https://sn.coinafrique.com/annonce/chiens/bichons-maltais-3143508","Bichons maltais","3 années","Dakar, Sénégal","300 000 CFA","Bichons maltais","300 000 CFA"
"1738974504-227","https://sn.coinafrique.com/categorie/chiens?page=7","Mâle berger allemand","https://sn.coinafrique.com/annonce/chiens/male-berger-allemand-3154709","Mâle berger allemand","3 années","Thies, Sénégal","Prix sur demande","Mâle berger allemand","Prix sur demande"
"1738974508-228","https://sn.coinafrique.com/categorie/chiens?page=7","Mâle berger allemand","https://sn.coinafrique.com/annonce/chiens/male-berger-allemand-3154731","Mâle berger allemand","3 années","Thies, Sénégal","Prix sur demande","Mâle berger allemand","Prix sur demande"
"1738974511-229","https://sn.coinafrique.com/categorie/chiens?page=7","Chiots bichon malté","https://sn.coinafrique.com/annonce/chiens/chiots-bichon-malte-3154816","Chiots bichon malté","3 années","Mermoz-Sacré Coeur, Dakar, Sénégal","180 000 CFA","Chiots bichon malté","180 000 CFA"
"1738974515-230","https://sn.coinafrique.com/categorie/chiens?page=7","Chiots bergers allemands","https://sn.coinafrique.com/annonce/chiens/chiots-bergers-allemands-3156059","Chiots bergers allemands","3 années","Thies, Sénégal","Prix sur demande","Chiots bergers allemands","Prix sur demande"
"1738974519-231","https://sn.coinafrique.com/categorie/chiens?page=7","Chiot Labrador","https://sn.coinafrique.com/annonce/chiens/chiot-labrador-3157315","Chiot Labrador","3 années","Hann Bel-Air, Dakar, Sénégal","300 000 CFA","Chiot Labrador","300 000 CFA"
"1738974522-232","https://sn.coinafrique.com/categorie/chiens?page=7","Caniches Bichons maltais - 5 mois","https://sn.coinafrique.com/annonce/chiens/caniches-bichons-maltais-5-mois-3159435","Caniches Bichons maltais - 5 mois","3 années","Ouakam, Dakar, Sénégal","125 000 CFA","Caniches Bichons maltais - 5 mois","125 000 CFA"
"1738974526-233","https://sn.coinafrique.com/categorie/chiens?page=7","Chiot Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-3163567","Chiot Berger Allemand","3 années","Keur Massar, Sénégal","165 000 CFA","Chiot Berger Allemand","165 000 CFA"
"1738974529-234","https://sn.coinafrique.com/categorie/chiens?page=7","Chiot Malinois","https://sn.coinafrique.com/annonce/chiens/chiot-malinois-3166487","Chiot Malinois","3 années","Sicap Liberté, Dakar, Sénégal","Prix sur demande","Chiot Malinois","Prix sur demande"
"1738974532-235","https://sn.coinafrique.com/categorie/chiens?page=7","Chiot berger allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-3169152","Chiot berger allemand","3 années","Guediawaye, Dakar, Sénégal","175 000 CFA","Chiot berger allemand","175 000 CFA"
"1738974536-236","https://sn.coinafrique.com/categorie/chiens?page=7","Chien","https://sn.coinafrique.com/annonce/chiens/chien-3173633","Chien","3 années","Pikine, Sénégal","Prix sur demande","Chien","Prix sur demande"
"1738974539-237","https://sn.coinafrique.com/categorie/chiens?page=7","Chiots Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-3173764","Chiots Berger Allemand","3 années","Guédiawaye, Dakar, Sénégal","Prix sur demande","Chiots Berger Allemand","Prix sur demande"
"1738974543-238","https://sn.coinafrique.com/categorie/chiens?page=7","Chiots berger allemand","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-3174177","Chiots berger allemand","3 années","Thies, Sénégal","Prix sur demande","Chiots berger allemand","Prix sur demande"
"1738974546-239","https://sn.coinafrique.com/categorie/chiens?page=7","Chien berger belge malinois","https://sn.coinafrique.com/annonce/chiens/chien-berger-belge-malinois-3174182","Chien berger belge malinois","3 années","Thies, Sénégal","Prix sur demande","Chien berger belge malinois","Prix sur demande"
"1738974550-240","https://sn.coinafrique.com/categorie/chiens?page=7","Chiots pittbull male","https://sn.coinafrique.com/annonce/chiens/chiots-pittbull-male-3182211","Chiots pittbull male","3 années","Sicap Liberté, Dakar, Sénégal","Prix sur demande","Chiots pittbull male","Prix sur demande"
"1738974554-241","https://sn.coinafrique.com/categorie/chiens?page=7","Chiot Pitbull","https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-3183820","Chiot Pitbull","3 années","Sicap Liberté, Dakar, Sénégal","Prix sur demande","Chiot Pitbull","Prix sur demande"
"1738974558-242","https://sn.coinafrique.com/categorie/chiens?page=7","Chiot pittbull","https://sn.coinafrique.com/annonce/chiens/chiot-pittbull-3185241","Chiot pittbull","3 années","Sicap Liberté, Dakar, Sénégal","Prix sur demande","Chiot pittbull","Prix sur demande"
"1738974561-243","https://sn.coinafrique.com/categorie/chiens?page=7","Chiot Doberman","https://sn.coinafrique.com/annonce/chiens/chiot-doberman-3189286","Chiot Doberman","3 années","Parcelle Assainies, Dakar, Sénégal","450 000 CFA","Chiot Doberman","450 000 CFA"
"1738974566-244","https://sn.coinafrique.com/categorie/chiens?page=7","Chien Canne Corso italien","https://sn.coinafrique.com/annonce/chiens/chien-canne-corso-italien-3190440","Chien Canne Corso italien","3 années","Mbao, Dakar, Sénégal","300 000 CFA","Chien Canne Corso italien","300 000 CFA"
"1738974571-245","https://sn.coinafrique.com/categorie/chiens?page=7","Chiots","https://sn.coinafrique.com/annonce/chiens/chiots-3191873","Chiots","3 années","Hann Bel-Air, Dakar, Sénégal","Prix sur demande","Chiots","Prix sur demande"
"1738974574-246","https://sn.coinafrique.com/categorie/chiens?page=7","Chiots","https://sn.coinafrique.com/annonce/chiens/chiots-3193468","Chiots","3 années","Hann Bel-Air, Dakar, Sénégal","Prix sur demande","Chiots","Prix sur demande"
"1738974577-247","https://sn.coinafrique.com/categorie/chiens?page=7","Chiot berger allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-3193543","Chiot berger allemand","3 années","Dakar, Sénégal","150 000 CFA","Chiot berger allemand","150 000 CFA"
"1738974580-248","https://sn.coinafrique.com/categorie/chiens?page=7","Chiots Rotweiller","https://sn.coinafrique.com/annonce/chiens/chiots-rotweiller-3199510","Chiots Rotweiller","3 années","Thies, Sénégal","Prix sur demande","Chiots Rotweiller","Prix sur demande"
"1738974584-249","https://sn.coinafrique.com/categorie/chiens?page=7","Caniche bichon","https://sn.coinafrique.com/annonce/chiens/caniche-bichon-3202334","Caniche bichon","3 années","Ouest Foire, Dakar, Sénégal","200 000 CFA","Caniche bichon","200 000 CFA"
"1738974587-250","https://sn.coinafrique.com/categorie/chiens?page=7","Chiot Boerboel","https://sn.coinafrique.com/annonce/chiens/chiot-boerboel-3212861","Chiot Boerboel","3 années","Thies, Sénégal","450 000 CFA","Chiot Boerboel","450 000 CFA"
"1738974590-251","https://sn.coinafrique.com/categorie/chiens?page=7","Chiot berger","https://sn.coinafrique.com/annonce/chiens/chiot-berger-3214802","Chiot berger","3 années","Sicap Liberté, Dakar, Sénégal","250 CFA","Chiot berger","250 CFA"
"1738974594-252","https://sn.coinafrique.com/categorie/chiens?page=7","Chiot Pitbull","https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-3226832","Chiot Pitbull","3 années","Sicap Liberté, Dakar, Sénégal","Prix sur demande","Chiot Pitbull","Prix sur demande"
"1738974597-253","https://sn.coinafrique.com/categorie/chiens?page=7","Chiot métisse pitbull - malinois","https://sn.coinafrique.com/annonce/chiens/chiot-metisse-pitbull-malinois-3236932","Chiot métisse pitbull - malinois","3 années","Parcelle Assainies, Dakar, Sénégal","170 000 CFA","Chiot métisse pitbull - malinois","170 000 CFA"
"1738974600-254","https://sn.coinafrique.com/categorie/chiens?page=7","Chiot Alaskan Malamut","https://sn.coinafrique.com/annonce/chiens/chiot-alaskan-malamut-3241666","Chiot Alaskan Malamut","3 années","Dakar, Sénégal","550 000 CFA","Chiot Alaskan Malamut","550 000 CFA"
"1738974603-255","https://sn.coinafrique.com/categorie/chiens?page=7","Chiot Labrador","https://sn.coinafrique.com/annonce/chiens/chiot-labrador-3241804","Chiot Labrador","3 années","Parcelle Assainies, Dakar, Sénégal","10 000 CFA","Chiot Labrador","10 000 CFA"
"1738974607-256","https://sn.coinafrique.com/categorie/chiens?page=7","Chiots malinois","https://sn.coinafrique.com/annonce/chiens/chiots-malinois-3241866","Chiots malinois","3 années","Mbao, Dakar, Sénégal","150 000 CFA","Chiots malinois","150 000 CFA"
"1738974610-257","https://sn.coinafrique.com/categorie/chiens?page=7","Chiot","https://sn.coinafrique.com/annonce/chiens/chiot-3244351","Chiot","3 années","Dakar, Sénégal","50 000 CFA","Chiot","50 000 CFA"
"1738974613-258","https://sn.coinafrique.com/categorie/chiens?page=7","Chiot Labrador","https://sn.coinafrique.com/annonce/chiens/chiot-labrador-3247804","Chiot Labrador","3 années","Sicap Liberté, Dakar, Sénégal","Prix sur demande","Chiot Labrador","Prix sur demande"
"1738974617-259","https://sn.coinafrique.com/categorie/chiens?page=7","Chiot Labrador","https://sn.coinafrique.com/annonce/chiens/chiot-labrador-3252408","Chiot Labrador","3 années","Sicap Liberté, Dakar, Sénégal","Prix sur demande","Chiot Labrador","Prix sur demande"
"1738974620-260","https://sn.coinafrique.com/categorie/chiens?page=7","Chiot Labrador","https://sn.coinafrique.com/annonce/chiens/chiot-labrador-3267297","Chiot Labrador","3 années","Sicap Liberté, Dakar, Sénégal","Prix sur demande","Chiot Labrador","Prix sur demande"
"1738974623-261","https://sn.coinafrique.com/categorie/chiens?page=7","Chien berger allemand","https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-3270823","Chien berger allemand","3 années","Yoff, Dakar, Sénégal","130 000 CFA","Chien berger allemand","130 000 CFA"
"1738974627-262","https://sn.coinafrique.com/categorie/chiens?page=7","Berger allemand","https://sn.coinafrique.com/annonce/chiens/berger-allemand-3275523","Berger allemand","3 années","Dakar, Sénégal","250 000 CFA","Berger allemand","250 000 CFA"
"1738974631-263","https://sn.coinafrique.com/categorie/chiens?page=7","Chiots berger allemand malinois","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-malinois-3277097","Chiots berger allemand malinois","3 années","Keur Massar, Sénégal","100 000 CFA","Chiots berger allemand malinois","100 000 CFA"
"1738974635-264","https://sn.coinafrique.com/categorie/chiens?page=7","Chiots Akita","https://sn.coinafrique.com/annonce/chiens/chiots-akita-3281423","Chiots Akita","3 années","Point E, Dakar, Sénégal","450 000 CFA","Chiots Akita","450 000 CFA"
"1738974638-265","https://sn.coinafrique.com/categorie/chiens?page=7","Chiots bichon","https://sn.coinafrique.com/annonce/chiens/chiots-bichon-3285176","Chiots bichon","3 années","Sicap Liberté, Dakar, Sénégal","155 000 CFA","Chiots bichon","155 000 CFA"
"1738974641-266","https://sn.coinafrique.com/categorie/chiens?page=7","Chien","https://sn.coinafrique.com/annonce/chiens/chien-3287244","Chien","3 années","Dakar, Sénégal","200 000 CFA","Chien","200 000 CFA"
"1738974645-267","https://sn.coinafrique.com/categorie/chiens?page=7","Chiots Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-3289564","Chiots Berger Allemand","3 années","Mbour, Sénégal","135 000 CFA","Chiots Berger Allemand","135 000 CFA"
"1738974648-268","https://sn.coinafrique.com/categorie/chiens?page=7","Chiot Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-3291944","Chiot Berger Allemand","3 années","Keur Massar, Sénégal","100 000 CFA","Chiot Berger Allemand","100 000 CFA"
"1738974651-269","https://sn.coinafrique.com/categorie/chiens?page=7","Chiots Boerboels","https://sn.coinafrique.com/annonce/chiens/chiots-boerboels-3301357","Chiots Boerboels","3 années","Thies, Sénégal","450 000 CFA","Chiots Boerboels","450 000 CFA"
"1738974654-270","https://sn.coinafrique.com/categorie/chiens?page=7","Chiots croisés husky golde","https://sn.coinafrique.com/annonce/chiens/chiots-croises-husky-golde-3303734","Chiots croisés husky golde","3 années","Thies, Sénégal","Prix sur demande","Chiots croisés husky golde","Prix sur demande"
